Entreprise,PER,ROE,Croissance CA,Dividende,Secteur,PB,beta
Bd Multi Media,,-0.51786,-0.145,,Communication Services,1.3245033,0.387
Beaconsmind,,,,,,,
Bebo Health,122.00001,,,,Consumer Cyclical,,
Believe,,-0.02562,0.141,,Communication Services,4.0590405,1.302
Beneteau,7.7000003,0.10937,-0.315,0.0885,Consumer Cyclical,0.8084375,0.909
Bernard Loiseau,2.8547008,0.69585,-0.04,,Consumer Cyclical,1.4585153,0.235
Bic,12.156863,0.12735,-0.037,0.0456,Consumer Defensive,1.4518887,0.29
Bigben Interactive,1.260177,0.06669,0.131,,Technology,0.11801757,0.91
Bilendi,13.913043,0.12364,0.036,,Communication Services,1.5684352,1.026
Bio-Uv Group,57.333336,-0.02199,-0.091,0.0308,Industrials,0.53267264,0.417
Biomerieux,28.069164,0.10609,0.074,0.0087,Healthcare,2.9716866,0.219
Biophytis,,,,,Healthcare,,1.289
Biosynex,,-0.31516,0.26,,Healthcare,0.172173,-2.078
Bleecker,,-0.12694,0.033,,Real Estate,0.541614,0.012
Blue Shark Power,790.0,-0.11253,,,Utilities,49.685535,0.101803
Bluelinea,,,0.435,,Healthcare,2.5857143,0.827
Bnp Paribas Act.A,7.067376,0.08369,0.034,0.0785,Financial Services,0.5397135,1.567
Boa Concept,80.952385,-0.00422,-0.496,,Industrials,1.036459,0.045
Body One,,0.33598998,,,Consumer Cyclical,0.46043164,-0.027501
Boiron,19.632353,0.048520003,-0.048,0.0508,Healthcare,1.2430168,0.453
Bollore,199.16667,0.011829999,0.7,0.0119,Communication Services,0.6491742,0.792
Bonduelle,,-0.16934,-0.004,0.0312,Consumer Defensive,0.32434055,0.501
Bonyf,,,,,Healthcare,,
Boostheat,,,0.019,,Technology,,1.551
Bourrelier Group,750.0,0.00097000005,-0.004,0.0713,Consumer Cyclical,0.933184,0.312
Bourse Direct,12.323529,0.25597998,0.154,0.0379,Financial Services,3.0786188,0.853
Bouygues,10.834586,0.08851,0.015,0.0659,Industrials,0.88920426,0.905
Broadpeak,,,-0.225,,Technology,0.4874214,0.502
Bureau Veritas,26.781816,0.29916,0.042,0.027999999,Industrials,8.097856,0.868
Burelle,4.962779,0.07393,0.023,0.083100006,Consumer Cyclical,0.3502761,1.351
Ca Toulouse 31 Cci,4.72451,0.035669997,0.055,0.0466,Financial Services,0.16340953,0.415
Cabasse,,-0.93665004,-0.168,,Technology,0.82102627,
Cafom,4.9625,0.06661,0.03,0.026400002,Consumer Cyclical,0.5448432,0.552
Cambodge Nom.,146.9697,0.008669999,,0.0186,Financial Services,1.3059927,0.584
Capelli,,-0.98716,-0.847,,Real Estate,,1.274
Capgemini,16.661425,0.16176,-0.025,0.0216,Technology,2.5064652,1.09
Carbios,,-0.19127001,2.65,,Basic Materials,0.6311317,2.073
Carmat,,,5.526,,Healthcare,,1.393
Carmila,41.57895,0.01603,0.012,0.0753,Real Estate,0.6984969,1.451
Carpinienne Part.,,,,,,,
Carrefour,12.153847,0.06503,-0.002,0.0615,Consumer Defensive,0.90435004,0.503
Casino Guichard,,0.43515998,-0.061,,Consumer Defensive,0.3195122,0.957
Catana Group,5.880953,0.29884002,0.114,0.0319,Consumer Cyclical,1.8141755,1.615
Catering Intl Sces,24.727272,,0.29,0.0198,Industrials,0.99877596,0.926
Cbi,,-0.02398,-0.406,,Financial Services,3.3363638,-2.074
Cbo Territoria,10.757575,0.05342,-0.156,0.067600004,Real Estate,0.5243722,0.393
Cegedim,79.64285,0.00401,0.06,,Healthcare,0.5486395,1.063
Cellectis,,-0.82198,9.98,,Healthcare,1.4075793,3.2
Cerinnov Group,,-0.16725,-0.002,,Industrials,0.983146,2.319
Cfi,,,,,Real Estate,,-1.366
Cfm Indosuezwealth,10.17249,0.15516,,0.0696,Financial Services,1.6298903,0.282
Ch.Fer Departement,23.584906,0.021440001,,0.036,Industrials,1.1984293,0.165393
Ch.Fer Var Gard N.,384.6154,0.07706,,0.0017,Financial Services,34.638145,0.510695
Chargeurs,,-0.0060799997,0.086,,Consumer Cyclical,0.8346805,1.845
Charwood Energy,,,0.287,,Utilities,1.6274865,1.269
Chausseria,30.434782,0.09864,-0.22,,Consumer Cyclical,0.6885697,-0.037
Cheops Technology,17.204302,0.23045,,0.0224,Technology,7.0144677,0.439648
Christian Dior,18.488049,0.24114999,-0.013,0.0223,Consumer Cyclical,4.6611195,1.069
Cibox Inter A Ctiv,Infinity,-0.65783,-0.697,,Technology,1.8052632,1.825
Cie Du Mont Blanc,6.6786194,0.09618,,0.0563,Consumer Cyclical,2.1066024,0.137
Claranova,,,0.012,,Technology,,1.465
Clariane,,-0.02984,0.071,0.0718,Healthcare,0.058486927,0.967
Clasquin,21.161436,,0.091,0.048499998,Industrials,5.656465,1.209
Cmg Cleantech,,,,,Utilities,,0.661191
Cnova,,,-0.198,,Consumer Cyclical,,1.348
Coface,8.265896,0.12635,0.022,0.0915,Financial Services,1.0139687,1.009
Cofidur,5.5649815,0.085489996,0.09,0.061,Technology,0.4628003,0.358
Cogelec,20.253164,1.18625,0.124,0.0163,Technology,14.466547,0.61
Cogra,32.77778,0.02429,-0.582,,Basic Materials,0.77939236,0.208
Coheris,13.4754095,0.19725001,-0.016,0.0098,Technology,2.4721806,0.444
Coil,,,0.111,,Basic Materials,0.35642153,0.568
Colipays,1.5960451,-0.25584,,,Consumer Cyclical,0.2464021,0.857524
Compagnie Odet,121.28637,0.0116,0.7,0.0026,Communication Services,0.4934438,0.933
Condor Technolog,,,,,,,
Consort Nt,,,,,,,
Constructeurs Bois,13.636364,,,,Real Estate,12.875537,0.177842
Corep Lighting,,,,,,,
Coretech 5,,,,,Healthcare,,-1.38
Coty,42.411766,0.04405,0.018,,Consumer Defensive,1.5468785,1.914
Courbet,,,,,Financial Services,14.197531,-0.430481
Courtois,,-0.01727,0.05,,Real Estate,0.46611896,0.273
Covivio,,-0.07551,0.085,0.0657,Real Estate,0.67764324,1.608
Covivio Hotels,46.25,0.01528,0.045,0.070300005,Real Estate,0.8245309,1.096
Crcam Alp.Prov.Cci,4.4042053,0.04032,0.053,0.048899997,Financial Services,0.17007954,0.665
Crcam Atl.Vend.Cci,7.531993,0.02163,-0.063,0.044499997,Financial Services,0.1578635,0.518
Crcam Brie Pic2Cci,4.5809765,0.0414,,0.0618,Financial Services,0.19787028,0.572
Crcam Ille-Vil.Cci,4.971706,0.03346,0.094,0.0435,Financial Services,0.15883306,0.959
Crcam Langued Cci,5.6905537,0.0363,0.004,0.0525,Financial Services,0.19824412,0.914
